Cluster ID,Cluster Name,Feature List
16,AI Generated Content,"restore old version, install old version, maintain open and positive attitude, maintain reputation, maintain copilot project update, verify answer, verify age, generate beautiful image, generate one image, generate picture, generate speech, generate nonsense, generate pic, produce graphic warhammer40k type literature piece, create beneficial machine, create pic, create picture, create cool scary picture, create photo, create single image, create ai image, create as beautiful and precise image, create image, create company logo, create new conversation, create exact imagination, create fund commitment, create scene, create content, create more feature, create new chat, create perfect vegetarian diet, create such helpful assistant, create artificial intelligence, create caption, create husk, buy subscription, destroy fantastic software, destroy user interface, destroy layout, destroy app, destroy copilot experience, destroy utility, destroy skype, kill functionality, write poes, write promt, write story, write long message, write poor content, write review, write email, produce both write and sound response"
17,Encrypted Messaging,"share incredible experience, share full review"
18,Remind,"remember conversation, remember past conversation, remember situation, remember thing"
19,Microsoft 365 Subscription,"cancel whole microsoft365subscription, cancel subscription, replace previous one, replace need, replace bing search, replace google search, replace google"
20,App Update,"update app, dislike new update"
21,Photo Sharing,"show pic, show lock screen suggestion, show amazing picture, show picture, show wrong email"
22,User Interface Change,"repeat same information, test new model, change color, change audio feedback process, change mind, change life, change world, change language, change rating, change ui, change theme, change app language"
23,Interactive Media,"play storytelling game, play full rpg adventure, play speaker, play music, play sample"
24,Image Data Sharing,"send picture, send photo, send image, send message, send datum"
25,Cortana Voice Assistant,"miss pro female voice, miss cortana voice, miss feature, miss old one, miss old version, miss previous version, miss part, miss cortana"
26,Thank You,"thank microsoft, thank ui designer"
27,Spanish Speaking,"stand voice, speak spanish"
28,Logical Reasoning,"imply fact, assert boundary"
29,Copilot,"bring original copilot, bring old copilot, enjoy copilot, get copilot, make copilot, prefer copilot, kill copilot, destroy copilot, want old copilot, ask copilot, choose copilot, explore microsoft copilot"
30,AI-Powered Recommendations,"recommend one, recommend copilot pro"
31,Bad AI,"great ai, bad ai"
32,Copying Previous Input,"copy previous prompt, copy own prompt, copy email subject, copy own message, copy ai, copy old school, copy message man, copy own command, copy previously ask question"
33,Problem Solving,"solve problem, solve daily task, solve equation, solve many minor daily issue, solve issue, solve math"
34,Chat History,"compose picture, have chat or compose option, still chat history, have chat history"
35,Knowledge Building,"build knowledge, build idea, build relationship, build real stargate"
36,Financial Service Associate,"rewrite below finance associate responsibility, rewrite whole thing"
37,Knowledge Sharing,"increase rating, increase knowledge"
38,Love New Version,"love ai buddy, love multicolored mixture, love new interface, love quick support, love ai, love previous version, love old version, love new app, love new look, love overall experience, love new ui, love new update, love new copilot"
39,Voice and Text Based Communication,"start drone, start different chat window, start voice conversation, start trial, start new topic, start new chat"
40,Expressing Appreciation,"express appreciation, train ai"
41,Delete Conversations,"delete all previous conversation, delete even basic question"
42,Google Search,"scan qr code, use lot, end conversation, share conversation, review past conversation, like default voice, delete individual past query, like interface, like new interface, like old interface, use tablet, support phone, like fact, use ai model, use program, like image generator, have own disadvantage, like new redesign, like previous design, paste ai result, shower google, like google, use web page, like feature, change feature, like new look, only pro be sign, like original version, like late version, like new version, like old version, like update version, use web version, like version, like copilot app, like app, know app, like new app, skip app, ruin app, like nice experience, like late update, like update, like new pilot update, like new update, like correct information, really good ai assistance, like new ui, trash ui, update pixel8, curate bot, download apk"
43,Click and Backspace,"click photo, click backspace"
44,Upload Files,"upload unlimited picture, upload picture, upload photo, upload image, upload pic, upload item, upload final report, upload pdf file, upload small file, upload screenshot, upload as many file"
45,Research Streamlining,"streamline research, streamline work, streamline goal"
46,Go Language,"go microsoft, go gpt40feature, go long way"
47,Thank You,"well thank, thank, so thank"
48,Text Generation,"generate thing, generate response, generate image, generate text"
49,App Redesign,"do redesign, redesign app3star"
50,Beat AI,"beat sock, beat ai"
51,love microsoft,"love microsoft, love old co pilot"
