Cluster ID,Cluster Name,Feature List
11,Open App,"open many app, open bluetooth setting, open exist chat, shut chat, shut conversation"
12,Turn,"turn phone screen, turn device, turn hallway light, turn extremely basic hallway light, turn light, turn phone, turn picture, turn gemini, turn information"
13,Hold Action,"hold candle, hold conversation, hold google, hold power button, hold home button"
14,AI Chatbots,"try quite afew ai app, consider ai feature, very poor ai response, ai power, highly ai innovation, favorite ai helper thank, bad ai app, very nice ai app, amazing ai app, very good ai app, cool ai app, best ai app, great app ai, good app ai, have gemini advanced, love gemini ai"
15,Thank You,"port exist functionality, voice call out command, by far bad ai model, nice to talk to very human like response, provide way way well contextual answer, provide require information, fastan upgrade progress, world ai bot, great experience ai work, pic generated nhi hoti hai, press speak key, press send button, disapoint thank google team, nice ai, nice ai app, perfect ai assistant, amazing ai assistant, good ai interaction, good ai companion, good ai feature, good ai graphic designing, good ai assistant, good ai app, good ai assistor, good ever ai, super good ai, bad ai service, bad ai, awesome ai app, great ai app, awesome ai, great ai, fun ai app, perhaps poor ai, undeniably cool high aspiration, thank good app, thank app, thank google, thank nice job, thank google team, thank gemini ai team, thank boo great job"
16,AI Waste,"trash ai, waste money, spit bad information"
17,Variable Consideration,"consider variable, consider good thing, define aura"
18,App Promotion,"prove feature, prove value, minimize app, avoid poorly execute junk, attach custom screenshot"
19,Human Interaction,"generate photo, generate picture, generate simple image, generate ai image, generate damn image, generate own voice, generate event message, generate less text, generate human quality text, generate explicit content, generate knowledge, generate output, generate character, generate painting, generate specific result, generate incorrect or misleading information, generate video, generate google sheets spreadsheet, calculate math problem, calculate simple math, manage home automation, develop system, develop model, develop problem, develop voice search option, develop other language, very well develop app, generate image sof people, create end product, create really dangerous situation, create photo, create picture, create brand image, create trend image, create same image, create own image, create basic ai image, create low cost image, create image, create single image, create memory, create reminder, create story, create tutor, create two different voice command, create art, create unlimited pic, create pic, create event, create calendar event, create song, create note, create article, create app, create human, create video, create google docs, create spreadsheet, buy gemini, buy pay version, buy copper pineapple, buy google pixel9pro xl, install gemini app, install app, install google app, install gemini, install urdu language, activate voice command, activate gemini, construct question, write information, write research paper, write long review, write review, write daddy, write message, write work, write paragraph suggestion, write diagram, write program, write code, write character, write email, give write information"
20,Data Verification,"verify payment, verify response, verify information, verify ai information, maintain subscription"
21,Gather Knowledge,"gather information, gather knowledge, gather more datum"
22,Recall,"remember previous message, remember name, remember conversation, remember two thing, remember detail, remember important detail, remember command, remember location"
23,Internet Access,"miss functionality, miss key functionality, miss tidal spotify extension, miss internet access, miss vital feature, miss feature, miss half, miss google assistant"
24,Send Information,"send bug report, send info, send text, send incorrect text, send print version, send homework, send more opportunity, send text message, send picture, send add, send account"
25,Virtual Assistant,"change voice command name, change name, change geminis voice tone, change assistant voice, change chemin voice, change voice, change gemini setting, change reminder, change subject, change accent, change default contact number, change mind, change rating, change life, change language, change assistant, change part, change ai voice assistant, change device set, cut bs, cut word, cut bluetooth audio, work though utha kar yaar aaja aaja main bhi nahi jantha hai mujhko bhi ho app, work granny"
26,Play,"play playlist, play spotify, play news, play voice, play thing, play response, play game, play shark boy, play pandora, play medium, play spotify song, play song, play music, play chess, play bass guitar, check play store"
27,Update Google Assistant,"replace genuine learning, replace function product, replace assistant, replace regular google assistant, replace google assistant, replace human, replace app, replace invalid link, replace assitant, replace google update transmission go, update app, update phone, update google assistant, update hindi language"
28,Show Language,"show wrong answer, show message, show picture, show practical price, show alarm page, show kannada text, show language, show other language, show english language, show only hindi, show good assistant, show ai generate photo"
29,Voice and Image Processing,"improve calculation, improve datum security, improve future interaction, improve mistake, improve ability, improve mood, improve thing, improve microphone, improve voice, improve answer, improve knowledge, improve multiple language mode, improve productivity level, improve math answer type formay, improve image quality, improve quality, improve information source quality, improve language, improve gemini zulu language, improve search result, improve english or maybe other language speak fluency, increase time delay, increase voice"
30,Upgrade Tech System,"convert image, integrate assistant, upgrade tech system, upgrade device, upgrade phone, upgrade app"
31,Gain Application,"gain knowledge, gain application, gain more feature"
32,Recommender System,"recommend amazing ai tool, recommend task, recommend student, recommend gemini, recommend artificial intelligence app, recommend app, recommend very bad experience, recommend assistant, review specific detail"
33,Problem Solving,"solve maths problem, solve maths question, solve maths sum, solve simple maths, solve math problem, solve problem, solve physics and math problem, solve more and more problem, solve odia math problem, solve math equation, solve question, solve math and science question, solve math homework, solve hard thing, solve math science computing and engineering question, solve sum"
34,Online Business,"run business, run google, run three party"
35,Copying Text,"copy success, copy wrong word, copy picture, copy select text"
36,Translation,"translate conversation, translate chinese"
37,Extract Information,"extract sentence, extract information, extract main point"
38,Video Session Start,"start mic, start new session"
39,Imagine Power,"imagine woke copilot, imagine power"
40,Perform Basic Task,"perform basic task, perform task, perform action, perform basic function, perform simple transcript"
41,Expressing Emotions,"express feeling, express strong interest, express emotion"
42,Lose Focus,"lose interest, lose capability, lose thread, lose sight, lose phone, lose assistant"
43,Privacy Protection,"retain personal information, retain information, retain context"
44,Build Relationship,"build rapport, build good relationship"
45,App Review,"verry good app, verry usefull app, verry grate innovation"
46,Document Upload,"upload picture, upload photo, upload image, upload pdf file, upload pdf"
47,Summary,"summarize result, summarize google news, summarise page"
48,Spotify Integration,"spotify integration, have spotify integration, have spotify extension, spotify extension, spotify control, fix spotify issue"
49,Get Prompt,"get long way, get same time, get prompt, get absolutely no none complaint, get kind, get pegus"
50,Know,"know thing, know location, know right way, know idea, know alot"
51,Help Seeking,"very help, help, help close friend, help work"
52,Question Answering,"give long types answer, get satisfy answer, answer, have all answer, answer quite lot, have answer"
53,Game Failure,"fail ai game, fail"
54,Basic Features,"lack basic feature, do lack"
55,Time-Dependent Action,"take forever, take second"
56,Greeting,"say fifteen minute, say hey google, say good afternoon, say lot"
57,Artificial Intelligence,"see great ai, seem nice and adequate ai, well publish ai, very good ai application, very bad ai, very good ai, so helpful ai stuff, ai, not ai, very useful ai, most stupid ai, very intelligent ai, good helpful ai, have ai, do ai bot, only ai, amazing ai software, like ai, simply amazing ai, not bad but little good other ai tool, useless ai, really useful ai, fantastic ai option, most advanced ai, good ai application, really good ai, such great ai, good ai experience, good ai, good free ai, very nice ai, just right ai, useful ai, wonderful ai, stupid ai, very weak left lean ai, beats and metas ai system, very helpful ai"
58,AI Tools,"use open ai, add ai"
59,AI Assistant,"call ai, ask ai, want advanced humanlike intelligent ai, want ai"
60,AI Chat Bot,"create ai, learn ai, really useless and poorly develop ai, develop well ai chat bot"
61,Use of OS,"use os, so far cool to use so far regret, use live, use full"
62,Add Way,"add way, have add"
63,Sentiment,"enjoy last year, enjoy way"
64,Need Help,"need, need ai, need well visual, need kind"
65,Also Support,"also support, support"
66,Generate,"generate response, generate logo, generate image, generate answer"
67,Unclear or Incomplete Response,"regurgitate useless repeat awser, regurgitate too much useless information"
68,Work,"should more work, work good, work, not work, still work, plz work, do work"
69,Personal Health App,"like help app, stop app"
70,Helpful Apps,"nice help app, have app, very well app, helpfully app"
71,Wait Time,"wait turn, wait minute"
72,AI Assistant,"beat siri, beat"
73,Chatbot,"love new ai, love conversation concept, love perfect and fabulous app"
74,Secure Video Conferencing,"very intresting feature, very nice and intresting app"
75,Control Spotify,"use spotify, do spotify, control spotify, understand spotify"
